Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	7	7	36	37	22	30	0.680206	0.38536	2.5049e-06	3.68256e-06
2	6	6	27	28	18	14	0.780953	0.24724	1.81525e-06	2.3244e-06
3	10	10	52	56	35	69	0.494811	0.70358	3.3782e-06	6.82726e-06
4	9	9	28	29	17	48	0.652516	0.42692	2.73233e-06	4.18737e-06
5	7	6	36	40	15	97	0.474307	0.7459	3.51548e-06	7.41182e-06
6	4	4	14	14	10	7	0.883716	0.12362	1.02705e-06	1.1622e-06
7	12	11	53	56	34	45	0.559238	0.58118	3.10492e-06	5.55206e-06
8	10	10	73	79	31	116	0.336984	1.08772	3.57972e-06	1.06228e-05
9	10	10	26	28	18	20	0.757418	0.27784	2.002e-06	2.6432e-06
10	7	7	23	26	17	13	0.794867	0.22958	1.71562e-06	2.15837e-06
11	10	10	16	18	9	20	0.806509	0.21504	1.67651e-06	2.07872e-06
12	13	13	57	59	33	64	0.498117	0.69692	3.35279e-06	6.73093e-06
13	7	7	16	16	11	7	0.872686	0.13618	1.11276e-06	1.27509e-06
14	11	10	47	50	24	68	0.516438	0.6608	3.3235e-06	6.43544e-06
15	12	12	57	61	39	32	0.5791	0.54628	2.97864e-06	5.14357e-06
16	4	4	18	21	10	40	0.714709	0.33588	2.36621e-06	3.31073e-06
17	11	11	47	55	29	66	0.505605	0.682	3.34276e-06	6.61141e-06
18	11	11	41	43	18	79	0.510206	0.67294	3.38e-06	6.62477e-06
19	8	8	41	44	21	73	0.522767	0.64862	3.32606e-06	6.36242e-06
20	12	11	60	62	32	53	0.517027	0.65966	3.26545e-06	6.31581e-06
21	10	10	56	58	32	63	0.503818	0.68554	3.33596e-06	6.62135e-06
22	12	12	36	43	26	33	0.645106	0.43834	2.69696e-06	4.18064e-06
23	9	9	51	51	36	27	0.63256	0.45798	2.7285e-06	4.31342e-06
24	12	12	48	50	22	74	0.500874	0.6914	3.38302e-06	6.75424e-06
25	6	5	11	11	9	2	0.923781	0.07928	6.71764e-07	7.2719e-07
26	10	9	51	56	32	54	0.534149	0.62708	3.22106e-06	6.03026e-06
27	12	12	70	77	29	238	0.183166	1.69736	3.11239e-06	1.69922e-05
28	14	13	88	95	54	74	0.37757	0.974	3.50928e-06	9.29438e-06
29	10	9	64	69	30	165	0.279481	1.27482	3.53875e-06	1.26619e-05
30	6	6	9	9	8	1	0.94024	0.06162	5.27627e-07	5.61162e-07
31	7	7	15	16	12	4	0.88614	0.12088	9.88662e-07	1.11569e-06
32	9	8	30	34	21	22	0.722007	0.32572	2.22967e-06	3.08815e-06
33	9	9	25	26	11	46	0.671743	0.39788	2.6277e-06	3.91176e-06
34	10	10	33	34	24	14	0.752074	0.28492	2.00284e-06	2.66308e-06
35	11	11	67	73	39	90	0.399541	0.91744	3.55697e-06	8.90266e-06
36	14	13	81	86	44	85	0.377728	0.97358	3.53962e-06	9.37082e-06
37	7	7	13	14	8	9	0.874748	0.13382	1.10959e-06	1.26847e-06
38	16	16	48	52	36	23	0.641555	0.44386	2.66716e-06	4.15734e-06
39	10	10	46	52	27	49	0.561884	0.57646	3.11216e-06	5.5388e-06
40	18	17	81	85	55	48	0.459048	0.7786	3.37329e-06	7.34844e-06
41	16	16	111	119	55	189	0.180645	1.71122	3.02751e-06	1.67594e-05
42	5	5	40	44	22	74	0.520107	0.65372	3.33678e-06	6.41555e-06
43	11	11	46	49	28	46	0.581398	0.54232	3.02912e-06	5.21006e-06
44	9	9	35	41	20	60	0.569225	0.56348	3.13207e-06	5.50234e-06
45	5	5	32	36	19	32	0.677545	0.38928	2.52885e-06	3.73238e-06
46	9	8	15	16	10	10	0.859435	0.15148	1.23285e-06	1.43449e-06
47	6	6	17	17	14	3	0.885095	0.12206	9.90429e-07	1.11901e-06
48	6	6	19	20	11	12	0.82961	0.1868	1.46555e-06	1.76655e-06
49	5	4	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
50	13	13	30	30	26	5	0.807429	0.2139	1.58183e-06	1.95909e-06
51	5	5	25	28	16	19	0.761291	0.27274	1.97179e-06	2.59006e-06
52	11	11	72	78	39	101	0.366067	1.00494	3.57624e-06	9.76937e-06
53	7	6	54	55	27	86	0.456576	0.784	3.5038e-06	7.67407e-06
54	5	4	15	15	9	21	0.817667	0.2013	1.60468e-06	1.96251e-06
55	11	11	83	87	49	102	0.34419	1.06656	3.55567e-06	1.03305e-05
56	12	12	33	34	28	9	0.771499	0.25942	1.8496e-06	2.39742e-06
57	8	8	23	26	12	28	0.736328	0.30608	2.17612e-06	2.95537e-06
58	5	5	16	16	10	9	0.863829	0.14638	1.19326e-06	1.38136e-06
59	6	6	18	18	13	8	0.857409	0.15384	1.23563e-06	1.44112e-06
60	10	10	28	29	20	14	0.776064	0.25352	1.84769e-06	2.38085e-06
61	17	17	26	28	16	20	0.757418	0.27784	2.002e-06	2.6432e-06
62	10	10	63	65	41	43	0.533925	0.6275	3.17889e-06	5.95382e-06
63	13	13	58	59	32	55	0.521514	0.65102	3.26089e-06	6.25273e-06
64	9	9	30	31	19	25	0.724568	0.32218	2.23037e-06	3.07821e-06
65	9	9	61	64	34	53	0.510574	0.67222	3.28233e-06	6.42871e-06
66	7	7	21	23	17	8	0.830905	0.18524	1.43195e-06	1.72336e-06
67	7	7	31	37	14	65	0.569008	0.56386	3.15357e-06	5.54222e-06
68	10	10	34	35	24	16	0.739782	0.3014	2.09047e-06	2.8258e-06
69	9	9	58	61	33	70	0.477076	0.74008	3.41712e-06	7.16263e-06
70	10	10	54	63	24	204	0.237868	1.43604	3.4242e-06	1.43954e-05
71	15	15	50	53	33	47	0.564091	0.57254	3.09629e-06	5.48898e-06
72	5	5	7	7	6	1	0.952124	0.04906	4.26805e-07	4.48266e-07
73	7	6	24	25	13	25	0.75239	0.2845	2.06119e-06	2.73952e-06
74	11	11	26	27	21	9	0.806171	0.21546	1.61418e-06	2.00228e-06
75	10	10	66	70	40	43	0.51742	0.6589	3.22666e-06	6.23606e-06
76	5	5	35	38	13	89	0.500304	0.69254	3.43902e-06	6.87386e-06
77	11	11	54	57	28	60	0.514809	0.66396	3.29761e-06	6.40551e-06
78	6	6	11	11	8	4	0.914407	0.08948	7.62118e-07	8.33456e-07
79	9	9	36	38	20	33	0.665684	0.40694	2.59511e-06	3.8984e-06
80	12	12	37	37	27	15	0.734284	0.30886	2.11882e-06	2.88556e-06
81	6	6	4	4	4	0	0.975193	0.02512	2.20189e-07	2.2579e-07
82	7	7	30	34	22	34	0.679145	0.38692	2.53032e-06	3.72575e-06
83	11	11	37	38	23	25	0.693406	0.36614	2.40843e-06	3.47334e-06
84	12	11	32	35	22	16	0.739782	0.3014	2.09047e-06	2.8258e-06
85	7	7	26	29	15	22	0.745038	0.29432	2.09051e-06	2.80591e-06
86	4	4	34	36	22	25	0.70217	0.35358	2.3596e-06	3.36044e-06
87	6	6	32	34	20	18	0.736888	0.30532	2.11901e-06	2.87562e-06
88	12	12	66	72	40	60	0.468528	0.75816	3.39787e-06	7.25222e-06
89	11	11	47	49	30	31	0.62762	0.46582	2.76973e-06	4.41306e-06
90	12	10	53	54	25	84	0.464163	0.76752	3.48649e-06	7.51136e-06
91	12	10	21	23	10	69	0.608755	0.49634	3.02215e-06	4.96449e-06
92	11	11	32	33	24	17	0.745321	0.29394	2.06158e-06	2.76604e-06
93	11	11	37	37	26	32	0.673303	0.39556	2.55103e-06	3.78882e-06
94	10	9	23	25	16	21	0.767897	0.2641	1.94047e-06	2.52699e-06
95	12	12	32	33	18	29	0.701075	0.35514	2.3862e-06	3.40363e-06
96	10	9	47	48	34	18	0.674867	0.39324	2.47398e-06	3.66588e-06
97	16	16	70	75	38	80	0.415198	0.879	3.52263e-06	8.48423e-06
98	14	12	59	60	32	66	0.489975	0.7134	3.37772e-06	6.89365e-06
99	11	11	68	71	31	121	0.345425	1.06298	3.60516e-06	1.04369e-05
100	17	17	54	55	37	27	0.616868	0.4831	2.8001e-06	4.53921e-06
101	7	7	23	24	15	15	0.796745	0.22722	1.71439e-06	2.15174e-06
102	11	10	44	45	27	26	0.660208	0.4152	2.58908e-06	3.92161e-06
103	9	9	43	51	24	58	0.540057	0.61608	3.21904e-06	5.96055e-06
104	6	6	11	11	10	1	0.928505	0.07418	6.25865e-07	6.74057e-07
105	6	5	22	24	11	28	0.745634	0.29352	2.11944e-06	2.84247e-06
106	10	10	28	29	18	15	0.772116	0.25862	1.87931e-06	2.43398e-06
107	5	4	40	43	18	85	0.49483	0.70354	3.43589e-06	6.94357e-06
108	13	13	55	59	37	36	0.574578	0.55412	3.01263e-06	5.2432e-06
109	4	4	13	13	9	5	0.8984	0.10714	8.97937e-07	9.99485e-07
110	6	6	6	6	6	0	0.963021	0.03768	3.26161e-07	3.38686e-07
111	6	6	7	8	6	2	0.94135	0.06044	5.2513e-07	5.57847e-07
112	9	9	18	19	14	9	0.847707	0.16522	1.31454e-06	1.5507e-06
113	6	6	27	28	18	12	0.78896	0.23704	1.75002e-06	2.21813e-06
114	10	10	38	41	24	57	0.578001	0.54818	3.08823e-06	5.34294e-06
115	11	10	31	32	20	21	0.734871	0.30806	2.14738e-06	2.92212e-06
116	12	12	35	35	22	17	0.736019	0.3065	2.11895e-06	2.87893e-06
117	14	14	69	76	38	94	0.384166	0.95668	3.56681e-06	9.28454e-06
118	16	16	74	81	45	61	0.440529	0.81978	3.44202e-06	7.81338e-06
119	5	5	31	33	16	26	0.711884	0.33984	2.30952e-06	3.24423e-06
120	11	10	39	45	23	35	0.63059	0.4611	2.77447e-06	4.3998e-06
121	10	10	45	50	23	66	0.521733	0.6506	3.30214e-06	6.32917e-06
122	7	7	34	37	14	104	0.466377	0.76276	3.55119e-06	7.61441e-06
123	11	11	41	42	31	21	0.690141	0.37086	2.40624e-06	3.4866e-06
124	14	14	55	59	28	79	0.461432	0.77342	3.47363e-06	7.52793e-06
125	7	7	38	40	20	46	0.615205	0.4858	2.89271e-06	4.70203e-06
126	13	13	74	80	43	91	0.380412	0.9665	3.55721e-06	9.35093e-06
127	10	9	30	30	23	10	0.7871	0.2394	1.75111e-06	2.22476e-06
128	5	5	29	32	19	24	0.723713	0.32336	2.23014e-06	3.08152e-06
129	7	7	21	23	13	21	0.777602	0.25154	1.8772e-06	2.41409e-06
130	4	4	19	20	12	18	0.804608	0.2174	1.67789e-06	2.08535e-06
131	12	12	27	28	18	23	0.745918	0.29314	2.09051e-06	2.8026e-06
132	10	10	23	26	14	28	0.736328	0.30608	2.17612e-06	2.95537e-06
133	10	10	47	48	28	35	0.618821	0.47994	2.82748e-06	4.56915e-06
