Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	1	1	0	0	0	0	1	-0	0	0
2	3	3	12	12	8	7	0.894885	0.11106	9.39006e-07	1.0493e-06
3	1	1	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
4	1	1	7	10	6	5	0.915486	0.0883	7.59984e-07	8.30142e-07
5	1	1	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
6	0	0	0	0	0	0	1	-0	0	0
7	5	5	50	55	21	173	0.292966	1.2277	3.6025e-06	1.22967e-05
8	3	3	11	12	6	16	0.854738	0.15696	1.30561e-06	1.5275e-06
9	4	4	30	33	13	87	0.521555	0.65094	3.38247e-06	6.48536e-06
10	2	2	18	20	10	14	0.821191	0.197	1.53794e-06	1.87282e-06
11	2	2	12	12	6	10	0.881298	0.12636	1.06523e-06	1.2087e-06
12	3	3	16	17	6	40	0.73289	0.31076	2.26092e-06	3.08494e-06
13	5	5	26	30	12	49	0.645132	0.4383	2.7721e-06	4.29695e-06
14	3	3	12	12	9	6	0.899461	0.10596	8.96016e-07	9.9617e-07
15	0	0	0	0	0	0	1	-0	0	0
16	2	2	2	2	1	1	0.982495	0.01766	1.63122e-07	1.66028e-07
17	2	2	6	6	6	0	0.963021	0.03768	3.26161e-07	3.38686e-07
18	3	3	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
19	2	2	22	26	11	71	0.591331	0.52538	3.09863e-06	5.24009e-06
20	2	2	12	13	5	29	0.794899	0.22954	1.80814e-06	2.27468e-06
21	3	3	14	17	4	43	0.721762	0.32606	2.34164e-06	3.24434e-06
22	5	5	34	38	17	94	0.487707	0.71804	3.482e-06	7.13953e-06
23	3	3	15	18	8	22	0.798325	0.22524	1.74433e-06	2.18499e-06
24	0	0	0	0	0	0	1	-0	0	0
25	2	2	12	14	9	15	0.848386	0.16442	1.34661e-06	1.58726e-06
26	1	1	7	8	2	21	0.854414	0.15734	1.33919e-06	1.56738e-06
27	3	3	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
28	1	1	4	5	2	6	0.939883	0.062	5.64905e-07	6.01037e-07
29	2	2	0	0	0	0	1	-0	0	0
30	1	1	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
31	1	1	14	15	6	19	0.82605	0.1911	1.53335e-06	1.85624e-06
32	1	1	5	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
33	0	0	0	0	0	0	1	-0	0	0
34	4	4	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
35	2	2	29	34	11	90	0.510421	0.67252	3.42043e-06	6.70121e-06
36	6	6	37	40	15	149	0.363819	1.0111	3.70176e-06	1.01748e-05
