Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	73	72	27	28	17	14	0.780953	0.24724	1.81525e-06	2.3244e-06
2	54	53	14	14	13	1	0.911175	0.09302	7.68485e-07	8.434e-07
3	83	83	16	16	16	0	0.904403	0.10048	8.16822e-07	9.03162e-07
4	60	59	16	16	13	3	0.890671	0.11578	9.46393e-07	1.06256e-06
5	61	60	20	20	17	3	0.868576	0.1409	1.11903e-06	1.28835e-06
6	69	66	21	22	16	10	0.827654	0.18916	1.46758e-06	1.77318e-06
7	61	59	16	16	14	2	0.895225	0.11068	9.03665e-07	1.00943e-06
8	49	48	15	15	11	6	0.882673	0.1248	1.02877e-06	1.16551e-06
9	44	44	9	10	8	3	0.924872	0.0781	6.69492e-07	7.23876e-07
10	78	78	22	23	14	12	0.814126	0.20564	1.57606e-06	1.93589e-06
11	66	64	14	14	12	2	0.90654	0.09812	8.12743e-07	8.96533e-07
12	59	58	26	26	18	9	0.811249	0.20918	1.57856e-06	1.94584e-06
13	60	59	17	18	15	3	0.879554	0.12834	1.03388e-06	1.17546e-06
14	57	56	18	18	13	5	0.870628	0.13854	1.1159e-06	1.28172e-06
15	64	59	21	21	18	3	0.863139	0.14718	1.16075e-06	1.3448e-06
16	65	62	10	10	7	3	0.924872	0.0781	6.69492e-07	7.23876e-07
17	69	69	22	23	17	9	0.826678	0.19034	1.46859e-06	1.77649e-06
18	60	60	21	21	17	4	0.858748	0.15228	1.20047e-06	1.39793e-06
19	75	74	22	22	19	3	0.857735	0.15346	1.2019e-06	1.40125e-06
20	56	54	18	19	12	11	0.839105	0.17542	1.39037e-06	1.65697e-06
21	63	62	19	20	14	9	0.8424	0.1715	1.35386e-06	1.60715e-06
22	61	60	13	13	9	4	0.902993	0.10204	8.54549e-07	9.46352e-07
23	52	52	23	24	15	13	0.804914	0.21702	1.64643e-06	2.04547e-06
24	65	65	15	15	11	6	0.882673	0.1248	1.02877e-06	1.16551e-06
25	69	67	17	17	13	4	0.880593	0.12716	1.03218e-06	1.17214e-06
26	70	69	22	22	17	6	0.844712	0.16876	1.3183e-06	1.56065e-06
27	49	48	10	11	9	3	0.919082	0.08438	7.17181e-07	7.80323e-07
28	77	77	33	33	20	22	0.726556	0.31944	2.2027e-06	3.0317e-06
29	57	54	16	16	13	3	0.890671	0.11578	9.46393e-07	1.06256e-06
30	66	65	15	15	10	7	0.878183	0.1299	1.07019e-06	1.21865e-06
31	62	62	21	21	15	9	0.837127	0.17778	1.39264e-06	1.6636e-06
32	64	64	12	12	11	1	0.922692	0.08046	6.7403e-07	7.30504e-07
33	62	62	17	18	13	7	0.861793	0.14874	1.19616e-06	1.38799e-06
34	50	49	25	25	19	9	0.81636	0.2029	1.54242e-06	1.88939e-06
35	65	63	14	14	10	5	0.892776	0.11342	9.42711e-07	1.05593e-06
36	56	55	12	13	9	5	0.8984	0.10714	8.97937e-07	9.99485e-07
37	66	66	21	21	16	6	0.850033	0.16248	1.27862e-06	1.5042e-06
38	58	55	14	14	14	0	0.915834	0.08792	7.23753e-07	7.90266e-07
39	71	67	27	28	18	13	0.784946	0.24214	1.78282e-06	2.27126e-06
40	62	62	24	25	17	11	0.808075	0.2131	1.61264e-06	1.99566e-06
41	69	69	21	22	15	9	0.831886	0.18406	1.43088e-06	1.72005e-06
42	66	66	21	21	17	5	0.854379	0.15738	1.23976e-06	1.45107e-06
43	85	80	28	30	20	15	0.767283	0.2649	1.91086e-06	2.49043e-06
44	71	67	21	21	15	8	0.841407	0.17268	1.35506e-06	1.61047e-06
45	52	52	19	19	13	10	0.843395	0.17032	1.35267e-06	1.60384e-06
46	57	56	10	10	9	1	0.934354	0.0679	5.77066e-07	6.17609e-07
47	58	58	9	9	9	0	0.945048	0.05652	4.80111e-07	5.08028e-07
48	78	78	17	17	14	3	0.885095	0.12206	9.90429e-07	1.11901e-06
49	63	60	11	11	11	0	0.933252	0.06908	5.79478e-07	6.20924e-07
50	66	65	21	22	15	10	0.827654	0.18916	1.46758e-06	1.77318e-06
51	67	65	22	22	16	8	0.836139	0.17896	1.39377e-06	1.66691e-06
52	72	72	25	27	19	9	0.806171	0.21546	1.61418e-06	2.00228e-06
53	72	69	19	19	13	9	0.847707	0.16522	1.31454e-06	1.5507e-06
54	53	51	11	11	9	2	0.923781	0.07928	6.71764e-07	7.2719e-07
55	82	81	17	18	15	3	0.879554	0.12834	1.03388e-06	1.17546e-06
56	59	59	25	25	14	15	0.791758	0.2335	1.74835e-06	2.20819e-06
57	60	60	14	14	10	4	0.89734	0.10832	8.99852e-07	1.0028e-06
58	63	63	11	12	9	3	0.913328	0.09066	7.64246e-07	8.36771e-07
59	57	56	21	23	13	17	0.793628	0.23114	1.74722e-06	2.20156e-06
60	53	52	15	15	12	3	0.896282	0.1095	9.01762e-07	1.00611e-06
61	61	60	10	10	9	1	0.934354	0.0679	5.77066e-07	6.17609e-07
62	61	60	17	19	16	3	0.874048	0.13462	1.07674e-06	1.2319e-06
63	69	66	17	17	14	4	0.880593	0.12716	1.03218e-06	1.17214e-06
64	61	60	12	12	10	2	0.917998	0.08556	7.19378e-07	7.83638e-07
65	60	59	14	14	12	2	0.90654	0.09812	8.12743e-07	8.96533e-07
66	73	73	21	21	15	10	0.832868	0.18288	1.42981e-06	1.71673e-06
67	64	64	17	17	12	6	0.871656	0.13736	1.11433e-06	1.27841e-06
68	67	63	13	13	12	1	0.916915	0.08674	7.21568e-07	7.86952e-07
69	68	66	20	21	12	12	0.824416	0.19308	1.50291e-06	1.823e-06
